8947,ENG 0214-28,ENG021428-S19R
8948,ENG 0214-29,ENG021429-S19R
8949,ENG 0214-30,ENG021430-S19R
8950,ENG 0214-31,ENG021431-S19R
8951,ENG 0214-32,ENG021432-S19R
8952,ENG 0214-33,ENG021433-S19R
8953,ENG 0214-34,ENG021434-S19R
8954,ENG 0214-35,ENG021435-S19R
8956,BIOL 0699-01,BIOL069901-S19R
8957,ENG 0214-37,ENG021437-S19R
8958,ENG 0214-38,ENG021438-S19R
8960,ENG 0214-40,ENG021440-S19R
8962,ENG 0214-42,ENG021442-S19R
8963,ENG 0214-43,ENG021443-S19R
8964,ENG 0214-44,ENG021444-S19R
8965,ENG 0214-45,ENG021445-S19R
8966,ENG 0214-46,ENG021446-S19R
8967,BUS 0699-01,BUS069901-S19R
8968,ENG 0214-47,ENG021447-S19R
8969,ENG 0214-48,ENG021448-S19R
8970,ENG 0214-49,ENG021449-S19R
8971,ENG 0214-50,ENG021450-S19R
8972,ENG 0214-51,ENG021451-S19R
8973,ENG 0214-52,ENG021452-S19R
8974,ENG 0214-53,ENG021453-S19R
8975,ENG 0214-54,ENG021454-S19R
8976,LTNS 0560-02,LTNS056002-S19R
8977,SXS 0702-01,SXS070201-S19R
8978,C_J 0685-01,C_J068501-S19R
8979,BUS 0776-02,BUS077602-S19R
8980,DS 0852-01,DS085201-S19R
8981,DS 0861-01,DS086101-S19R
8982,ANTH 0652-01,ANTH065201-S19R
8984,MATH 0245-04,MATH024504-S19R
8985,MATH 0324-06,MATH032406-S19R
8986,MATH 0325-06,MATH032506-S19R
8987,PSY 0171-05,PSY017105-S19R
8988,PSY 0171-06,PSY017106-S19R
8989,C_J 0699-01,C_J069901-S19R
8990,PSY 0171-07,PSY017107-S19R
8991,PSY 0171-08,PSY017108-S19R
8992,MATH 0449-01,MATH044901-S19R
8993,MATH 0452-01,MATH045201-S19R
8994,GEOG 0107-01,GEOG010701-S19R
8995,CHEM 0680-01,CHEM068001-S19R
8996,ISYS 0363-06,ISYS036306-S19R
8997,ISYS 0412-01,ISYS041201-S19R
8998,GEOG 0316-01,GEOG031601-S19R
8999,GEOG 0316-02,GEOG031602-S19R
9000,C_W 0699-01,C_W069901-S19R
9001,MATH 0711-01,MATH071101-S19R
9002,ISYS 0565-03,ISYS056503-S19R
9003,MATH 0885-01,MATH088501-S19R
9004,C_J 0340-03,C_J034003-S19R
9005,C_J 0340-04,C_J034004-S19R
9006,ISYS 0569-01,ISYS056901-S19R
9007,ISYS 0569-02,ISYS056902-S19R
9008,ISYS 0869-01,ISYS086901-S19R
9009,C_W 0899-01,C_W089901-S19R
9010,ISYS 0864-01,ISYS086401-S19R
9011,GEOG 0423-01,GEOG042301-S19R
9012,BUS 0450-01,BUS045001-S19R
9013,BUS 0450-02,BUS045002-S19R
9014,GEOG 0433-01,GEOG043301-S19R
9015,GER 0600-01,GER060001-S19R
9016,I_R 0341-03,I_R034103-S19R
9017,I_R 0341-04,I_R034104-S19R
9019,GER 0341-01,GER034101-S19R
9020,CAD 0699-01,CAD069901-S19R
9021,PHYS 0102-05,PHYS010205-S19R
9023,GER 0741-01,GER074101-S19R
9024,PHYS 0112-12,PHYS011212-S19R
9025,PHYS 0112-13,PHYS011213-S19R
9026,PHYS 0112-14,PHYS011214-S19R
9027,PHYS 0112-15,PHYS011215-S19R
