151,COUN 0110-02,COUN011002-F19R
152,MATH 0107-02,MATH010702-F19R
153,MATH 0107-04,MATH010704-F19R
154,MATH 0107-05,MATH010705-F19R
155,AA_S 0360-01,AA_S036001-F19R
156,MATH 0107-06,MATH010706-F19R
157,MATH 0122-05,MATH012205-F19R
158,KIN 0139-02,KIN013902-F19R
159,FCS 0351-01,FCS035101-F19R
160,SOC 0393-03,SOC039303-F19R
161,SOC 0393-04,SOC039304-F19R
162,SOC 0500-02,SOC050002-F19R
163,AA_S 0591-01,AA_S059101-F19R
164,SOC 0510-01,SOC051001-F19R
165,MATH 0197-10,MATH019710-F19R
166,MATH 0198-01,MATH019801-F19R
167,MATH 0198-02,MATH019802-F19R
168,RPT 0230-01,RPT023001-F19R
169,RPT 0230-02,RPT023002-F19R
170,CSC 0220-06,CSC022006-F19R
171,ERTH 0110-03,ERTH011003-F19R
172,MUS 0437-01,MUS043701-F19R
173,MUS 0461-01,MUS046101-F19R
174,AA_S 0688-01,AA_S068801-F19R
175,SOC 0501-02,SOC050102-F19R
176,SOC 0502-02,SOC050202-F19R
177,ERTH 0110-04,ERTH011004-F19R
178,HTM 0425-01,HTM042501-F19R
179,SOC 0640-01,SOC064001-F19R
180,SOC 0110-01,SOC011001-F19R
181,SXS 0110-01,SXS011001-F19R
182,SXS 0458-01,SXS045801-F19R
183,SXS 0799-01,SXS079901-F19R
184,PHYS 0480-01,PHYS048001-F19R
185,AA_S 0688-02,AA_S068802-F19R
186,PHYS 0725-01,PHYS072501-F19R
187,CSC 0842-01,CSC084201-F19R
188,CSC 0648-03,CSC064803-F19R
189,CSC 0848-03,CSC084803-F19R
190,CSC 0648-04,CSC064804-F19R
191,CSC 0848-04,CSC084804-F19R
192,CSC 0664-01,CSC066401-F19R
193,CSC 0864-01,CSC086401-F19R
194,CSC 0667-02,CSC066702-F19R
196,AA_S 0688-03,AA_S068803-F19R
197,CSC 0675-03,CSC067503-F19R
198,CSC 0775-03,CSC077503-F19R
199,E_ED 0333-01,E_ED033301-F19R
200,ASTR 0301-01,ASTR030101-F19R
201,MATH 0226-29,MATH022629-F19R
202,MATH 0226-30,MATH022630-F19R
203,RRS 0250-10,RRS025010-F19R
204,AA_S 0688-04,AA_S068804-F19R
205,E_ED 0746-12,E_ED074612-F19R
206,LABR 0343-01,LABR034301-F19R
207,CSC 0211-05,CSC021105-F19R
208,E_ED 0699-08,E_ED069908-F19R
209,E_ED 0699-09,E_ED069909-F19R
210,ERTH 0444-01,ERTH044401-F19R
211,ERTH 0444-02,ERTH044402-F19R
212,SLHS 0898-02,SLHS089802-F19R
213,SCI 0100-01,SCI010001-F19R
214,AA_S 0688-05,AA_S068805-F19R
215,SCI 0100-02,SCI010002-F19R
216,CAD 0210-02,CAD021002-F19R
217,CAD 0210-03,CAD021003-F19R
218,E_ED 0655-01,E_ED065501-F19R
219,CAD 0260-03,CAD026003-F19R
220,SOC 0483-02,SOC048302-F19R
221,E_ED 0765-01,E_ED076501-F19R
222,CSC 0620-01,CSC062001-F19R
223,PHYS 0685-01,PHYS068501-F19R
224,PHYS 0686-01,PHYS068601-F19R
225,AA_S 0688-06,AA_S068806-F19R
226,E_ED 0639-01,E_ED063901-F19R
227,PHYS 0321-01,PHYS032101-F19R
228,CAD 0450-03,CAD045003-F19R
229,PHYS 0321-02,PHYS032102-F19R
230,CAD 0600-03,CAD060003-F19R
231,CAD 0600-04,CAD060004-F19R
232,CAD 0601-03,CAD060103-F19R
233,CAD 0601-04,CAD060104-F19R
234,AA_S 0688-07,AA_S068807-F19R
235,CAD 0625-03,CAD062503-F19R
236,CAD 0625-04,CAD062504-F19R
237,CAD 0230-01,CAD023001-F19R
238,CAD 0510-01,CAD051001-F19R
239,BIOL 0700-02,BIOL070002-F19R
240,MATH 0123-14,MATH012314-F19R
241,C_J 0510-01,C_J051001-F19R
242,MATH 0265-01,MATH026501-F19R
243,ENGR 0121-03,ENGR012103-F19R
244,ENGR 0121-04,ENGR012104-F19R
245,AA_S 0688-08,AA_S068808-F19R
246,ENGR 0201-03,ENGR020103-F19R
247,ENGR 0302-05,ENGR030205-F19R
248,ENGR 0303-02,ENGR030302-F19R
249,CSC 0415-03,CSC041503-F19R
250,CSC 0651-01,CSC065101-F19R
251,ENGR 0323-01,ENGR032301-F19R
252,ENGR 0323-02,ENGR032302-F19R
253,ENGR 0323-03,ENGR032303-F19R
254,ENGR 0323-04,ENGR032304-F19R
255,ENGR 0350-01,ENGR035001-F19R
256,AA_S 0688-09,AA_S068809-F19R
257,ENGR 0353-02,ENGR035302-F19R
258,ENGR 0357-03,ENGR035703-F19R
259,ASTR 0301-02,ASTR030102-F19R
260,AA_S 0216-02,AA_S021602-F19R
261,ENGR 0415-01,ENGR041501-F19R
262,ENGR 0416-01,ENGR041601-F19R
263,ENGR 0430-02,ENGR043002-F19R
264,AA_S 0688-10,AA_S068810-F19R
265,ENGR 0430-04,ENGR043004-F19R
266,ENGR 0442-01,ENGR044201-F19R
267,H_ED 0221-14,H_ED022114-F19R
268,ENGR 0447-03,ENGR044703-F19R
269,ENGR 0467-02,ENGR046702-F19R
270,ENGR 697G-04,ENGR697G04-F19R
271,ENGR 0820-01,ENGR082001-F19R
272,ENGR 0828-01,ENGR082801-F19R
273,ENGR 0832-01,ENGR083201-F19R
274,AA_S 0688-11,AA_S068811-F19R
275,ENGR 0837-01,ENGR083701-F19R
276,ENGR 0848-01,ENGR084801-F19R
277,ENGR 0852-01,ENGR085201-F19R
278,ENGR 0858-01,ENGR085801-F19R
279,ENGR 0309-03,ENGR030903-F19R
280,E_ED 0721-01,E_ED072101-F19R
281,ERTH 0465-01,ERTH046501-F19R
282,ERTH 0465-02,ERTH046502-F19R
283,E_ED 0712-01,E_ED071201-F19R
284,ERTH 0420-01,ERTH042001-F19R
285,AA_S 0688-12,AA_S068812-F19R
286,ENGR 0451-03,ENGR045103-F19R
287,ENGR 0451-04,ENGR045104-F19R
288,ENGR 0610-03,ENGR061003-F19R
289,E_ED 0681-01,E_ED068101-F19R
290,CSC 0820-01,CSC082001-F19R
291,A_U 0221-14,A_U022114-F19R
292,ERTH 0420-02,ERTH042002-F19R
293,E_ED 0604-01,E_ED060401-F19R
294,E_ED 0614-01,E_ED061401-F19R
295,AA_S 0895-01,AA_S089501-F19R
296,ERTH 0744-01,ERTH074401-F19R
297,ERTH 0744-02,ERTH074402-F19R
298,MGMT 0659-03,MGMT065903-F19R
299,BUS 0884-01,BUS088401-F19R
300,BIOL 0220-03,BIOL022003-F19R
301,IBUS 0659-03,IBUS065903-F19R
302,E_ED 0747-10,E_ED074710-F19R
303,ART 0882-02,ART088202-F19R
304,ART 0882-03,ART088203-F19R
305,AA_S 0895-02,AA_S089502-F19R
306,ART 0882-04,ART088204-F19R
307,ART 0882-05,ART088205-F19R
308,ART 0882-06,ART088206-F19R
309,ART 0882-07,ART088207-F19R
310,ART 0882-08,ART088208-F19R
311,ART 0882-09,ART088209-F19R
312,ART 0882-10,ART088210-F19R
313,ART 0882-11,ART088211-F19R
314,ART 0882-12,ART088212-F19R
315,ART 0882-13,ART088213-F19R
316,AA_S 0895-03,AA_S089503-F19R
317,ART 0882-14,ART088214-F19R
318,ART 0882-15,ART088215-F19R
319,ART 0882-16,ART088216-F19R
320,ART 0899-05,ART089905-F19R
321,ART 0899-06,ART089906-F19R
322,ART 0899-07,ART089907-F19R
323,ART 0899-08,ART089908-F19R
324,ART 0899-09,ART089909-F19R
325,ART 0899-10,ART089910-F19R
326,ART 0899-11,ART089911-F19R
327,AA_S 0895-04,AA_S089504-F19R
328,ART 0899-12,ART089912-F19R
329,ART 0899-13,ART089913-F19R
330,ART 0899-14,ART089914-F19R
331,ART 0899-15,ART089915-F19R
332,ART 0899-16,ART089916-F19R
333,ART 0570-01,ART057001-F19R
334,ART 0570-02,ART057002-F19R
335,ART 0570-03,ART057003-F19R
336,AA_S 0895-05,AA_S089505-F19R
337,ART 0570-04,ART057004-F19R
338,ART 0570-05,ART057005-F19R
339,ART 0570-06,ART057006-F19R
340,ART 0570-07,ART057007-F19R
341,ART 0570-08,ART057008-F19R
342,ART 0570-09,ART057009-F19R
343,ART 0570-10,ART057010-F19R
344,ART 0570-11,ART057011-F19R
345,ART 0570-12,ART057012-F19R
346,ART 0570-13,ART057013-F19R
347,AA_S 0896-01,AA_S089601-F19R
348,ART 0570-14,ART057014-F19R
349,ART 0570-15,ART057015-F19R
350,ART 0570-16,ART057016-F19R
351,ART 0685-16,ART068516-F19R
352,ART 0699-16,ART069916-F19R
353,ART 0890-15,ART089015-F19R
354,AFRS 0230-01,AFRS023001-F19R
355,AFRS 0202-01,AFRS020201-F19R
356,CSC 0642-01,CSC064201-F19R
357,AA_S 0896-02,AA_S089602-F19R
358,AFRS 0647-01,AFRS064701-F19R
359,AFRS 0675-01,AFRS067501-F19R
360,AA_S 0380-01,AA_S038001-F19R
361,BUS 0699-02,BUS069902-F19R
362,LTNS 0640-01,LTNS064001-F19R
363,ECON 0675-01,ECON067501-F19R
364,ENG 0114-81,ENG011481-F19R
365,ENGR 0430-01,ENGR043001-F19R
366,AA_S 0896-03,AA_S089603-F19R
367,ENGR 0430-03,ENGR043003-F19R
368,AA_S 0214-10,AA_S021410-F19R
370,AFRS 0210-01,AFRS021001-F19R
371,LTNS 0222-01,LTNS022201-F19R
372,LTNS 0560-02,LTNS056002-F19R
373,LTNS 0305-02,LTNS030502-F19R
374,AA_S 0896-04,AA_S089604-F19R
375,DES 0323-04,DES032304-F19R
376,LTNS 0315-01,LTNS031501-F19R
377,LTNS 0215-02,LTNS021502-F19R
378,TH_A 0558-01,TH_A055801-F19R
379,JS 0405-01,JS040501-F19R
380,AIS 0410-01,AIS041001-F19R
381,AIS 0520-01,AIS052001-F19R
382,AFRS 0210-02,AFRS021002-F19R
383,AFRS 0210-03,AFRS021003-F19R
384,AA_S 0896-05,AA_S089605-F19R
385,AFRS 0210-04,AFRS021004-F19R
386,AFRS 0210-05,AFRS021005-F19R
387,AFRS 0214-01,AFRS021401-F19R
388,AFRS 0214-10,AFRS021410-F19R
389,AFRS 0699-02,AFRS069902-F19R
390,AFRS 0699-03,AFRS069903-F19R
391,AFRS 0699-04,AFRS069904-F19R
392,AFRS 0699-05,AFRS069905-F19R
393,AFRS 0699-06,AFRS069906-F19R
394,AFRS 0699-07,AFRS069907-F19R
395,AA_S 0898-01,AA_S089801-F19R
396,AFRS 0699-08,AFRS069908-F19R
397,AFRS 0125-01,AFRS012501-F19R
398,ITEC 0830-01,ITEC083001-F19R
399,ITEC 0315-01,ITEC031501-F19R
400,ITEC 0315-02,ITEC031502-F19R
401,LTNS 0278-01,LTNS027801-F19R
403,HIST 0278-01,HIST027801-F19R
404,AA_S 0898-02,AA_S089802-F19R
405,LTNS 0110-05,LTNS011005-F19R
406,LTNS 0110-06,LTNS011006-F19R
407,LABR 0525-01,LABR052501-F19R
408,AIS 0205-05,AIS020505-F19R
409,AIS 0205-06,AIS020506-F19R
410,AIS 0450-01,AIS045001-F19R
411,LTNS 0278-02,LTNS027802-F19R
412,LTNS 0315-02,LTNS031502-F19R
413,HIST 0451-03,HIST045103-F19R
414,HIST 0278-02,HIST027802-F19R
415,AA_S 0898-03,AA_S089803-F19R
416,S_ED 0780-01,S_ED078001-F19R
417,E_ED 0780-01,E_ED078001-F19R
418,E_ED 0774-01,E_ED077401-F19R
420,CST 0590-01,CST059001-F19R
421,EDUC 0333-01,EDUC033301-F19R
422,LTNS 0409-02,LTNS040902-F19R
423,CINE 0309-02,CINE030902-F19R
424,AA_S 0899-01,AA_S089901-F19R
425,SLHS 0664-02,SLHS066402-F19R
426,HTM 0557-01,HTM055701-F19R
427,PLSI 0424-01,PLSI042401-F19R
428,I_R 0424-01,I_R042401-F19R
429,SOC 0424-01,SOC042401-F19R
430,WGS 0505-01,WGS050501-F19R
431,PSY 0205-01,PSY020501-F19R
432,AFRS 0466-01,AFRS046601-F19R
433,A_U 0400-01,A_U040001-F19R
434,RPT 0380-01,RPT038001-F19R
435,AA_S 0899-02,AA_S089902-F19R
436,RPT 0380-02,RPT038002-F19R
437,CINE 0307-03,CINE030703-F19R
438,MUS 0374-01,MUS037401-F19R
439,AFRS 0678-01,AFRS067801-F19R
440,SPED 0330-04,SPED033004-F19R
441,EXCO 0401-02,EXCO040102-F19R
442,BUS 896E-01,BUS896E01-F19R
443,BUS 896E-02,BUS896E02-F19R
444,AA_S 0106-01,AA_S010601-F19R
445,AA_S 0108-01,AA_S010801-F19R
446,AA_S 0899-03,AA_S089903-F19R
447,JS 0379-01,JS037901-F19R
448,HUM 0379-01,HUM037901-F19R
449,ENG 0731-01,ENG073101-F19R
450,ISED 0735-01,ISED073501-F19R
451,ART 0619-02,ART061902-F19R
